1410714,05/15/2014, $100,000,5,7,10,11,16,18,20,24,30,40,43,55,59,60,62,66,67,69,71,78
1410516,05/14/2014, $100,000,3,8,23,24,25,27,30,31,34,38,53,56,60,62,66,67,73,74,75,80
1410309,05/13/2014, $100,000,1,2,13,14,15,25,28,38,40,43,46,47,55,64,68,70,71,73,76,79
1410127,05/12/2014, $100,000,5,6,12,13,16,17,18,19,24,25,28,33,35,38,43,48,51,52,60,80
1409950,05/11/2014, $100,000,2,8,12,19,30,32,33,35,42,49,51,52,53,59,62,66,69,71,73,80
1409776,05/10/2014, $100,000,1,6,23,35,36,38,42,43,44,46,47,53,54,55,59,66,68,73,78,80
1409565,05/09/2014, $100,000,4,8,15,20,23,25,27,29,42,45,46,51,54,59,60,68,74,75,76,80
1409381,05/08/2014, $100,000,1,2,3,11,16,22,25,27,29,30,35,37,50,56,58,59,61,66,69,73
1409184,05/07/2014, $100,000,2,3,11,12,17,19,26,29,30,33,35,42,43,50,55,56,69,70,71,74
1408977,05/06/2014, $100,000,6,10,13,14,15,17,23,24,30,31,36,39,41,49,52,54,56,63,66,70
1408794,05/05/2014, $100,000,1,5,13,18,24,27,33,40,43,47,52,53,57,58,61,66,67,73,74,76
1408608,05/04/2014, $100,000,1,3,7,9,15,21,23,25,28,34,41,42,44,49,52,54,55,57,64,74
1408442,05/03/2014, $100,000,2,4,7,8,11,21,23,33,36,39,41,42,43,44,50,55,65,68,72,80
1408232,05/02/2014, $100,000,6,17,25,27,35,37,42,46,54,56,57,59,64,66,68,69,70,71,72,73
1408048,05/01/2014, $100,000,12,14,22,24,25,27,33,36,37,43,50,53,58,65,67,70,75,76,78,79
1407851,04/30/2014, $100,000,3,5,10,16,20,23,28,30,32,45,48,50,55,57,58,59,62,70,76,79
1407645,04/29/2014, $100,000,1,4,9,14,17,18,19,21,24,27,31,34,41,49,54,57,62,67,73,77
1407463,04/28/2014, $100,000,2,9,19,22,27,31,32,33,36,38,39,50,52,55,57,58,68,72,73,77
1407296,04/27/2014, $100,000,1,6,7,11,15,17,30,37,40,43,47,48,52,57,58,59,63,68,73,78
1407114,04/26/2014, $100,000,4,5,16,19,28,32,36,38,40,42,43,44,51,62,67,70,72,73,78,79
1406903,04/25/2014, $100,000,3,4,6,8,16,28,29,33,35,41,43,45,53,58,61,63,70,71,74,78
1406721,04/24/2014, $100,000,4,7,9,11,18,23,24,28,31,34,35,38,42,45,47,51,61,67,74,77
1406523,04/23/2014, $100,000,3,5,6,15,17,19,20,22,25,38,39,51,52,55,57,60,65,67,72,73
1406317,04/22/2014, $100,000,2,6,8,16,27,30,33,34,36,37,39,40,42,54,55,62,65,67,69,76
1406134,04/21/2014, $100,000,5,8,12,15,29,35,39,44,46,48,54,55,62,65,66,67,71,75,79,80
1405957,04/20/2014, $100,000,3,9,14,18,24,27,28,31,35,37,38,40,44,51,54,55,56,71,75,80
1405784,04/19/2014, $100,000,1,6,10,15,19,28,29,30,32,40,46,50,56,59,62,64,71,75,76,77
1405576,04/18/2014, $100,000,9,11,17,21,25,28,29,35,38,50,55,62,65,66,70,72,73,74,79,80
1405393,04/17/2014, $100,000,3,7,10,12,20,24,29,31,32,41,42,44,46,54,56,58,60,62,63,68
1405197,04/16/2014, $100,000,3,7,8,9,18,24,26,27,29,32,33,34,44,47,48,58,65,66,72,79
1404993,04/15/2014, $100,000,3,12,18,20,21,23,24,27,29,38,39,41,43,48,50,51,60,66,70,78
1404809,04/14/2014, $100,000,2,5,6,10,20,22,23,26,32,37,49,59,63,64,69,72,73,74,75,80
1404632,04/13/2014, $100,000,2,5,8,9,10,12,14,20,22,23,30,32,41,42,51,54,58,60,63,66
1404457,04/12/2014, $100,000,5,9,10,12,14,16,19,30,36,38,42,45,48,53,59,62,64,66,72,77
1404260,04/11/2014, $100,000,4,6,7,10,14,20,36,37,39,41,45,51,53,54,57,65,69,76,77,78
1404067,04/10/2014, $100,000,2,3,10,12,17,22,23,25,27,32,36,47,50,56,59,64,71,72,73,74
1403878,04/09/2014, $100,000,3,6,9,16,18,23,28,30,44,45,47,48,49,50,51,52,63,67,76,77
1403673,04/08/2014, $100,000,5,6,7,12,22,24,30,31,34,38,40,42,53,57,58,64,65,69,71,73
1403481,04/07/2014, $100,000,5,7,16,24,26,32,33,37,39,42,43,44,45,47,57,67,71,72,74,76
1403288,04/06/2014, $100,000,4,10,12,17,20,21,23,32,35,38,42,45,48,49,52,53,56,58,77,80
1403126,04/05/2014, $100,000,1,4,8,11,16,19,20,22,23,26,34,37,38,39,42,45,51,60,68,69
1402958,04/04/2014, $100,000,4,15,17,22,29,31,32,33,40,41,46,49,54,56,57,60,64,69,71,78
1402734,04/03/2014, $100,000,1,3,5,6,7,9,12,27,30,33,40,42,44,45,46,54,56,61,63,69
1402554,04/02/2014, $100,000,5,8,15,19,22,25,28,29,38,39,46,47,51,53,55,56,57,62,68,73
1402340,04/01/2014, $100,000,5,11,16,17,19,29,33,39,40,43,49,52,54,56,62,64,68,71,74,78
1402159,03/31/2014, $100,000,1,6,7,14,18,22,29,31,34,35,47,48,49,53,57,60,61,73,74,76
1401986,03/30/2014, $100,000,5,10,14,24,36,41,42,43,47,50,52,59,63,66,69,70,71,73,77,78
1401810,03/29/2014, $100,000,3,12,14,15,20,22,35,41,42,43,46,47,51,55,66,67,68,73,74,79
1401591,03/28/2014, $100,000,2,3,8,14,17,19,24,31,40,43,44,47,48,50,51,54,55,62,63,66
1401422,03/27/2014, $100,000,2,3,5,18,19,22,23,30,33,34,35,37,48,51,52,56,61,72,76,79
1401218,03/26/2014, $100,000,2,11,14,21,25,27,29,31,33,34,39,42,44,48,56,62,65,66,78,79
1401014,03/25/2014, $100,000,2,14,16,21,25,34,38,41,43,44,54,55,59,60,62,64,69,75,76,77
1400845,03/24/2014, $100,000,1,2,9,14,16,24,27,28,31,36,45,49,50,54,58,59,61,64,71,80
1400659,03/23/2014, $100,000,3,7,9,18,19,21,22,29,33,37,40,46,58,59,62,69,72,75,77,78
1400495,03/22/2014, $100,000,1,3,4,10,14,31,34,35,36,37,38,39,40,44,56,59,61,67,70,74
1400266,03/21/2014, $100,000,8,9,12,14,16,21,24,25,26,28,39,49,52,53,65,66,70,71,74,78
1400097,03/20/2014, $100,000,1,8,10,15,20,22,31,33,34,36,49,50,52,55,56,62,69,70,77,78
1399906,03/19/2014, $100,000,3,8,11,12,18,23,24,26,30,31,43,52,54,55,60,62,65,66,74,77
1399703,03/18/2014, $100,000,3,6,8,10,12,19,20,23,38,44,46,50,54,57,58,63,68,75,77,80
1399524,03/17/2014, $100,000,1,5,18,19,21,22,25,26,28,29,32,36,41,43,45,52,53,57,58,66
1399339,03/16/2014, $100,000,2,7,15,19,20,23,29,30,34,36,38,41,45,57,58,60,65,67,71,75
1399161,03/15/2014, $100,000,1,7,8,11,15,26,27,33,40,43,54,57,61,62,67,68,75,77,79,80
1398957,03/14/2014, $100,000,1,4,6,18,20,24,26,27,30,35,37,38,39,43,46,47,51,55,60,71
1398779,03/13/2014, $100,000,2,4,11,12,17,25,29,32,35,39,41,42,43,44,54,55,57,58,67,78
1398587,03/12/2014, $100,000,2,5,23,27,28,30,36,41,43,45,46,49,53,55,60,63,64,65,69,71
1398375,03/11/2014, $100,000,10,20,22,28,33,34,35,39,43,50,55,56,62,65,68,69,71,75,76,79
1398190,03/10/2014, $100,000,6,7,10,12,14,22,27,28,31,35,46,50,51,54,58,60,71,74,78,80
1398038,03/09/2014, $100,000,5,12,14,15,20,23,25,28,40,41,46,52,53,56,59,66,72,74,75,76
1397846,03/08/2014, $100,000,1,6,9,10,12,16,21,23,28,30,36,43,47,48,54,55,57,71,73,76
1397643,03/07/2014, $100,000,1,2,5,8,14,20,30,40,41,42,43,54,59,63,65,67,69,73,74,75
1397458,03/06/2014, $100,000,7,9,11,20,21,28,30,35,36,43,45,51,53,54,56,58,66,72,75,76
1397254,03/05/2014, $100,000,7,8,9,11,12,14,17,21,23,25,28,30,31,42,47,65,69,75,77,78
1397036,03/04/2014, $100,000,2,3,9,14,15,21,22,27,28,31,32,33,41,44,48,51,58,63,72,75
1396867,03/03/2014, $100,000,7,12,27,29,31,32,35,38,53,54,55,56,58,60,64,66,71,73,78,79
1396684,03/02/2014, $100,000,2,5,6,8,9,14,15,22,23,29,32,34,35,37,47,49,65,75,76,80
1396527,03/01/2014, $100,000,1,7,8,11,16,22,26,33,35,36,41,45,54,59,60,61,67,72,73,79
1396318,02/28/2014, $100,000,1,3,7,10,15,25,30,32,37,38,39,40,56,57,58,62,65,66,75,78
1396110,02/27/2014, $100,000,3,5,6,9,12,15,19,25,30,35,36,44,46,50,51,57,64,65,71,75
1395928,02/26/2014, $100,000,2,3,4,9,12,13,15,19,24,35,40,48,54,59,61,72,73,74,75,77
1395725,02/25/2014, $100,000,2,5,26,29,33,36,37,44,51,55,57,59,61,66,67,73,74,75,76,77
1395544,02/24/2014, $100,000,2,7,12,14,15,16,34,36,37,42,44,47,51,66,67,69,70,73,76,79
1395363,02/23/2014, $100,000,1,5,6,19,20,22,24,26,28,30,43,46,51,52,58,59,66,67,75,78
1395194,02/22/2014, $100,000,3,4,10,12,13,15,17,26,29,31,32,34,36,48,49,50,53,54,56,61
1394681,02/21/2014, $100,000,2,5,6,7,8,11,20,21,23,27,31,40,43,44,46,47,50,54,57,68
1394514,02/20/2014, $100,000,1,5,8,13,17,24,26,28,31,32,39,51,54,60,62,67,68,69,78,79
1394307,02/19/2014, $100,000,2,3,10,15,18,19,23,25,28,29,41,46,47,55,60,68,71,76,77,78
